ZONE,Use_Type,Max_FAR,Min_Lot_Size_SF,Min_LA_per_DU_SF,Min_Frontage_FT,Setback_Existing_Block,Min_Front_Setback_FT,Max_Front_Setback_FT,Projections_Setback_FT,Porches_Setback_FT,Garages_Setback_FT,Min_Side_Yard,Min_Combined_Side_Yard,Min_Rear_Yard_FT,Min_UOS_per_DU_SF,Max_Height_FT,Max_Stories
SSF,all_permitted,0.35,10000,10000,90,0,25,NA,22,17,30,10,25,25,750,35,2.5
SMF,3fam,0.75,20000,10000,90,0,25,NA,NA,NA,30,20,NA,25,750,40,3
SMF,not_3fam,0.75,20000,3000,40,0,25,NA,NA,NA,30,20,NA,25,750,40,3
SMU,3fam,2,20000,10000,90,0,25,NA,NA,NA,30,20,NA,25,750,40,3
SMU,res_not_3fam,2,20000,3000,40,0,25,NA,NA,NA,30,20,NA,0,300,NA,NA
SMU,not_res,2,NA,NA,25,0,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA
RR,all_permitted,2,NA,NA,25,0,NA,NA,NA,NA,NA,0,NA,40,NA,NA,NA
TSF,all_permitted,0.35,7000,7000,70,0,15,20,12,9,24,10,25,20,300,32,2.5
TTF,sf,NA,6000,6000,70,0,15,20,12,9,24,10,NA,20,500,32,2.5
TTF,not_sf,NA,6000,4000,80,0,15,20,12,9,24,10,25,20,500,35,2.5
TMF,sf,NA,4500,4000,70,0,15,20,12,9,24,5,20,20,500,32,2.5
TMF,not_sf,NA,6000,4000,80,0,15,20,12,9,24,10,25,20,500,35,3
TMU,sf,NA,4500,2500,70,1,NA,NA,NA,NA,21,5,20,20,250,32,2.5
TMU,res_not_sf,NA,6000,2500,80,1,NA,NA,NA,NA,21,10,25,20,250,45,4
TMU,not_res,1,NA,NA,25,0,NA,8,NA,NA,21,0,NA,0,NA,45,4
NB,res,1,6000,2500,40,1,NA,NA,NA,NA,21,0,NA,20,250,35,3
NB,not_res,1,NA,NA,25,0,NA,8,NA,NA,21,0,NA,0,NA,40,3
USF,sf,0.75,3000,2500,50,0,10,15,7,4,21,3,17,15,225,32,2.5
USF,not_sf,NA,5000,2500,50,0,10,15,7,4,21,3,17,15,225,32,2.5
UMF,all_permitted,NA,3400,1000,55,1,NA,NA,NA,NA,NA,3,17,15,NA,65,6
UMU,res,NA,3400,1000,55,1,NA,NA,NA,NA,NA,3,17,15,NA,NA,NA
UMU,not_res,4,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DMU,all_permitted,4,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRC,res,3,43560,NA,25,0,25,NA,NA,NA,30,20,NA,25,100,200,15
HRC,not_res,5,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,15
INST,all_permitted,2,NA,NA,25,0,NA,8,NA,NA,NA,0,NA,0,NA,100,8
OP,all_permitted,2,NA,NA,25,0,40,NA,NA,NA,NA,20,NA,40,NA,50,4
LI,all_permitted,2,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GI,all_permitted,2,NA,NA,25,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA